,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
410083,2736572_13819,04:16:00,04:16:00,1,7 William Cannon SB,0,7,1,1,30.338721,-97.719548,7072 Easy Wind/St Johns,False
46760,2726327_0637,04:17:00,04:17:00,1,10 Southpark Meadows SB,0,10,1,1,30.340202,-97.691345,Norwood Transit Center - A,False
410084,2736572_13819,04:17:47,04:17:47,2,7 William Cannon SB,0,7,1,1,30.336202,-97.718247,6904 Airport/Lamar,False
46761,2726327_0637,04:18:28,04:18:28,2,10 Southpark Meadows SB,0,10,1,1,30.340454,-97.690058,1113 Rutherford/Furness,False
410085,2736572_13819,04:18:52,04:18:52,3,7 William Cannon SB,0,7,1,1,30.333155,-97.716673,Airport/Guadalupe,False
394535,2736641_13566,04:20:00,04:20:00,1,7 Airport/Highland NB,1,7,1,1,30.189947,-97.767587,6502 Bluff Springs/William Cannon,False
410086,2736572_13819,04:20:28,04:20:28,4,7 William Cannon SB,0,7,1,1,30.328339,-97.716081,6402 Airport Blvd (Highland Mall),False
46762,2726327_0637,04:20:31,04:20:31,3,10 Southpark Meadows SB,0,10,1,1,30.33771,-97.68437,8100 Cameron Road,False
394536,2736641_13566,04:20:50,04:20:50,2,7 Airport/Highland NB,1,7,1,1,30.188349,-97.765515,1901 William Cannon/Bluff Springs,False
394537,2736641_13566,04:21:35,04:21:35,3,7 Airport/Highland NB,1,7,1,1,30.187471,-97.762532,2015 William Cannon/Elm Creek,False
46763,2726327_0637,04:21:38,04:21:38,4,10 Southpark Meadows SB,0,10,1,1,30.33555,-97.68456,8004 Cameron/Rutherford,False
394538,2736641_13566,04:22:27,04:22:27,4,7 Airport/Highland NB,1,7,1,1,30.1864,-97.759149,2283 William Cannon/Stoneleigh,False
410087,2736572_13819,04:22:41,04:22:41,5,7 William Cannon SB,0,7,1,1,30.321647,-97.71395,5789 Airport/Koenig,False
46764,2726327_0637,04:23:26,04:23:26,5,10 Southpark Meadows SB,0,10,1,1,30.33123,-97.68753,7606 Cameron/Anderson,False
394539,2736641_13566,04:23:48,04:23:48,5,7 Airport/Highland NB,1,7,1,1,30.183639,-97.754477,William Cannon/Branchwood,False
46765,2726327_0637,04:24:37,04:24:37,6,10 Southpark Meadows SB,0,10,1,1,30.32921,-97.69045,7400 Cameron/McKie,False
